FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-03-07,2.12671200316255e-05,5.25422965487217e-05,0.249502099189848,0.706611322114302,0.650499902421449,0.200208667977722,2.75221553350447e-05,2.62711482743609e-05,2015,3,7,5
2015-03-08,1.87651059102578e-05,5.37933036094056e-05,0.20424816977667,0.643810767667973,0.5984930368947,0.153378469668083,2.75221553350447e-05,2.12671200316255e-05,2015,3,8,6
2015-03-09,2.00161129709416e-05,5.62953177307733e-05,0.160865746926276,0.552370908581408,0.521957675929123,0.113015977862179,2.87731623957286e-05,2.12671200316255e-05,2015,3,9,0
2015-03-10,2.25181270923093e-05,5.75463247914571e-05,0.1846561481993,0.664909001746406,0.666052422199871,0.234533799708766,2.75221553350447e-05,2.37691341529932e-05,2015,3,10,1
2015-03-11,2.37691341529932e-05,5.50443106700894e-05,0.166138741687058,0.634809771866352,0.672314963545654,0.236796871481543,2.87731623957286e-05,2.5020141213677e-05,2015,3,11,2
2015-03-12,1.87651059102578e-05,5.37933036094056e-05,0.230734491265469,0.667718763604702,0.674011329119942,0.227804632729347,2.5020141213677e-05,2.5020141213677e-05,2015,3,12,3
2015-03-13,2.37691341529932e-05,5.50443106700894e-05,0.176564634530797,0.576604166353915,0.502759721575869,0.179037875489769,2.75221553350447e-05,2.5020141213677e-05,2015,3,13,4
2015-03-14,1.87651059102578e-05,6.12993459735087e-05,0.186520148719719,0.546564984812774,0.502321869104629,0.112516826044966,3.3777190638464e-05,2.00161129709416e-05,2015,3,14,5
2015-03-15,2.25181270923093e-05,5.75463247914571e-05,0.252127963010223,0.669467671475538,0.56878412121758,0.173976300922242,2.62711482743609e-05,2.00161129709416e-05,2015,3,15,6
2015-03-16,2.5020141213677e-05,5.75463247914571e-05,0.196897252288092,0.59525417961459,0.514866967909167,0.220814005274246,3.62792047598317e-05,2.5020141213677e-05,2015,3,16,0
2015-03-17,2.00161129709416e-05,6.63033742162441e-05,0.235413257672426,0.686061029128448,0.662006665365619,0.238563293451228,2.5020141213677e-05,2.87731623957286e-05,2015,3,17,1
2015-03-18,2.37691341529932e-05,5.0040282427354e-05,0.0913647986629236,0.26119526218606,0.286126581898428,0.0916975665410655,2.87731623957286e-05,2.25181270923093e-05,2015,3,18,2
2015-03-19,2.37691341529932e-05,5.12912894880379e-05,0.187043069671085,0.514334038901316,0.442468687293271,0.0877656513493362,3.12751765170963e-05,2.5020141213677e-05,2015,3,19,3
2015-03-20,2.00161129709416e-05,5.8797331852141e-05,0.116228563994015,0.367853622165843,0.286693288096918,0.0487529961619103,2.62711482743609e-05,2.37691341529932e-05,2015,3,20,4
2015-03-21,1.75140988495739e-05,5.12912894880379e-05,0.0399884406947593,0.168712063210885,0.202275331641972,0.085784056165213,3.50281976991478e-05,2.37691341529932e-05,2015,3,21,5
2015-03-22,1.87651059102578e-05,6.12993459735087e-05,0.0805761137715861,0.3402614104354,0.300779627600218,0.0472530386961504,2.75221553350447e-05,2.75221553350447e-05,2015,3,22,6
2015-03-23,1.62630917888901e-05,5.0040282427354e-05,0.0686277453349947,0.291767372735052,0.307248585111014,0.0940356987374837,2.62711482743609e-05,2.37691341529932e-05,2015,3,23,0
2015-03-24,2.00161129709416e-05,5.62953177307733e-05,0.0532903987710107,0.17843614109358,0.190784831789591,0.0654814625773748,2.87731623957286e-05,2.5020141213677e-05,2015,3,24,1
2015-03-25,2.37691341529932e-05,5.8797331852141e-05,0.0936203643933366,0.46226087000035,0.585237366079694,0.25001876510591,0.0003177557934136,2.87731623957286e-05,2015,3,25,2
2015-03-26,2.25181270923093e-05,0.0001376107766752,0.349769064096598,0.768459860187451,0.703207331902181,0.280443256821741,0.0001363597696145,2.5020141213677e-05,2015,3,26,3
2015-03-27,2.12671200316255e-05,0.0002151732144376,0.310865246523451,0.758965967603921,0.744367966212801,0.319133152187511,0.0005229209513658,2.12671200316255e-05,2015,3,27,4
2015-03-28,2.12671200316255e-05,0.0003089987439889,0.259975530301893,0.702964636532409,0.724195477359274,0.314001521224586,0.0003878121888119,2.75221553350447e-05,2015,3,28,5
2015-03-29,2.00161129709416e-05,0.001119651319312,0.297535766291865,0.531582924254024,0.471898628395859,0.154446829697907,4.62872612453025e-05,2.37691341529932e-05,2015,3,29,6
2015-03-30,2.00161129709416e-05,0.0001688859531923,0.153239607884347,0.494463042749413,0.594199580662433,0.193396934532299,0.0002014121367701,2.00161129709416e-05,2015,3,30,0
2015-03-31,2.12671200316255e-05,0.0006029854032496,0.34991918494388,0.745722806859522,0.713219141408834,0.301636567436787,0.0006542766927376,2.12671200316255e-05,2015,3,31,1
